,season_id,season_name
185075,17446,Super Cup 2018
185078,10354,Super Cup 2015
185079,29203,First Professional League 20/21
185426,23773,First Professional League 19/20
185876,17330,First Professional League 18/19
186276,13483,First Professional League 17/18
186668,11865,First Professional League 16/17
187022,10428,A PFG 15/16
187273,8248,A PFG 14/15
187553,6279,A PFG 13/14
187880,27508,Canadian Premier League 2020
188045,13225,Canadian Championship 2017
188137,26951,Primera Division 2020
188616,22328,Primera Division 2019
189054,15995,Primera Division 2018
189511,13475,Primera Division 2017
189893,22281,Supercup 2019
189921,15816,Supercup 2018
189949,28232,Chinese Super League 2020
190401,22556,Chinese Super League 2019
190865,16186,Chinese Super League 2018
191301,12938,Chinese Super League 2017
191733,11342,Chinese Super League 2016
192150,9833,Chinese Super League 2015
192446,26956,Primera A 2020
193010,20160,Primera A 2019
193584,16044,Primera A 2018
194124,12882,Primera A 2017
194662,11256,Primera A 2016
195210,24014,"Primera A 2019, Clausura"
195763,19511,"Primera A 2018, Clausura"
197398,32532,Super Liga Aguila Cup 2020
197430,20161,Super Liga Aguila Cup 2019
197462,15808,Super Liga Aguila Cup 2018
197495,12848,Super Cup 2017
197527,29241,1. HNL 20/21
197783,23778,1. HNL 19/20
198128,17456,1. HNL 18/19
198427,13517,1. HNL 17/18
198725,11745,1. HNL 16/17
198996,10352,1. HNL 15/16
199261,8172,1. HNL 14/15
199519,6281,1. HNL 13/14
199768,28214,1st Division 20/21
200110,24157,1st Division 19/20
200415,17861,1st Division 18/19
200736,13554,1st Division 17/18
201106,12143,1st Division 16/17
201417,10667,1st Division 15/16
201773,8610,1st Division 14/15
202068,6491,1st Division 13/14
202401,29247,Superligaen 20/21
202664,23743,Superligaen 19/20
203063,17268,Superligaen 18/19
203430,13378,Superligaen 17/18
203803,11695,Superligaen 16/17
204167,10389,Superligaen 15/16
204490,8144,Superligaen 14/15
204783,6203,Superligaen 13/14
205065,26952,LigaPro Primera A 2020
205518,20069,"LigaPro, Primera A 2019"
205652,16023,Serie A 2018
206040,27059,Premium Liiga 2020
206271,22499,Premium Liiga 2019
206513,15916,Premium Liiga 2018
206754,12789,Premium Liiga 2017
206971,11273,Premium Liiga 2016
207181,9670,Premium Liiga 2015
207403,7798,Premium Liiga 2014
207668,5920,Premium Liiga 2013
207892,27060,Esiliiga 2020
208136,22500,Esiliiga 2019
208284,15917,Esiliiga 2018
208451,12887,Esiliiga 2017
208628,11289,Esiliiga 2016
208834,9736,Esiliiga 2015
208987,27061,Veikkausliiga 2020
209298,22362,Veikkausliiga 2019
209620,15991,Veikkausliiga 2018
209937,12861,Veikkausliiga 2017
210221,11235,Veikkausliiga 2016
210501,9803,Veikkausliiga 2015
210776,7694,Veikkausliiga 2014
211075,5906,Veikkausliiga 2013
211336,27452,Ykkonen 2020
211595,22515,Ykkonen 2019
211832,16026,Ykkonen 2018
212015,13134,Ykkonen 2017
212186,11276,Ykkonen 2016
212365,9836,Ykkonen 2015
212504,7794,Ykkonen 2014
212642,5938,Ykkonen 2013
212797,28222,Ligue 1 20/21
213290,23872,Ligue 1 19/20
213821,17279,Ligue 1 18/19
214369,13384,Ligue 1 17/18
214910,11648,Ligue 1 16/17
215469,10373,Ligue 1 15/16
216047,8122,Ligue 1 14/15
216515,6271,Ligue 1 13/14
216957,28223,Ligue 2 20/21
217445,23875,Ligue 2 19/20
217978,17373,Ligue 2 18/19
218531,13385,Ligue 2 17/18
219083,11690,Ligue 2 16/17
219500,10374,Ligue 2 15/16
219895,8124,Ligue 2 14/15
220318,6273,Ligue 2 13/14
220691,26061,Coupe de France 19/20
220777,19722,Coupe de France 18/19
220870,15371,Coupe de France 17/18
220936,12636,Coupe de France 16/17
221063,10999,Coupe de France 15/16
221106,9412,Coupe de France 14/15
221149,7364,Coupe de France 13/14
221221,24488,Coupe de la Ligue 19/20
221327,18046,Coupe de la Ligue 18/19
221409,13766,Coupe de la Ligue 17/18
221506,11889,Coupe de la Ligue 16/17
221594,10518,Coupe de la Ligue 15/16
221690,8490,Coupe de la Ligue 14/15
221795,6653,Coupe de la Ligue 13/14
221875,23754,Trophée des Champions 2019
221903,28210,Bundesliga 20/21
222312,23538,Bundesliga 19/20
222799,17597,Bundesliga 18/19
223267,13477,Bundesliga 17/18
223739,11818,Bundesliga 16/17
224209,10419,Bundesliga 15/16
224686,8238,Bundesliga 14/15
225100,6303,Bundesliga 13/14
225509,29312,2nd Bundesliga 20/21
225905,24043,2nd Bundesliga 19/20
226403,17598,2nd Bundesliga 18/19
226880,13476,2nd Bundesliga 17/18
227348,11819,2nd Bundesliga 16/17
227773,10420,2nd Bundesliga 15/16
228132,8240,2nd Bundesliga 14/15
228530,6335,2nd Bundesliga 13/14
228887,29421,3rd Liga 20/21
229322,24117,3rd Liga 19/20
229884,17676,3rd Liga 18/19
230325,13509,3rd Liga 17/18
230743,11834,3rd Liga 16/17
231103,10438,3rd Liga 15/16
231453,8274,3rd Liga 14/15
231828,6379,3rd Liga 13/14
232163,29194,DFB Pokal 20/21
233159,23877,DFB Pokal 19/20
234267,17297,DFB Pokal 18/19
235356,13373,DFB Pokal 17/18
236451,11746,DFB Pokal 16/17
237247,10347,DFB Pokal 15/16
238013,8128,DFB Pokal 14/15
238781,6293,DFB Pokal 13/14
239502,29295,Super Cup 2020
239533,23602,Super Cup 2019
239561,17264,Super Cup 2018
239589,13322,Super Cup 2017
239617,32553,Super League 1 20/21
239954,24108,Super League 1 19/20
240396,18287,Super League 18/19
240789,13598,Super League 17/18
241151,11957,Super League 16/17
241512,10511,Super League 15/16
241840,8590,Super League 14/15
242182,6611,Super League 13/14
242578,25183,Super League 2 19/20
242907,19229,Football League 18/19
243226,15000,Football League 17/18
243532,12313,Football League 16/17
243775,10889,Football League 15/16
244047,9224,Football League 14/15
244373,7190,Football League 13/14
244769,25891,Greece Cup 19/20
244822,18929,Greece Cup 18/19
244932,14115,Greece Cup 17/18
244988,12261,Greece Cup 16/17
245079,10818,Greece Cup 15/16
245145,8870,Greece Cup 14/15
245202,7198,Greece Cup 13/14
245225,29209,NB I 20/21
245490,24044,NB I 19/20
245839,17667,NB I 18/19
246138,13492,NB I 17/18
246417,11836,NB I 16/17
246695,10475,NB I 15/16
246969,8482,NB I 14/15
247285,6377,NB I 13/14
247652,26940,Urvalsdeild 2020
247889,22400,Urvalsdeild 2019
248124,16741,Urvalsdeild 2018
248340,13189,Urvalsdeild 2017
248559,11261,Urvalsdeild 2016
248666,9787,Urvalsdeild 2015
248679,34713,Indian Super League 20/21
248798,25114,Indian Super League 19/20
249038,18737,Indian Super League 18/19
249270,14874,Indian Super League 2017
249507,12258,Indian Super League 2016
249680,10314,Indian Super League 2015
249865,9168,Indian Super League 2014
249931,29316,Premier League 20/21
250178,23996,Premier League 19/20
250555,17539,Premier League 18/19
250879,13491,Premier League 17/18
251174,11940,Premier League 16/17
251493,10489,Premier League 15/16
251799,8672,Premier League 14/15
252078,6865,Premier League 13/14
252365,32523,Serie A 20/21
252845,24644,Serie A 19/20
253420,17932,Serie A 18/19
253963,13768,Serie A 17/18
254496,11966,Serie A 16/17
255056,10596,Serie A 15/16
255607,8618,Serie A 14/15
256123,6797,Serie A 13/14
256640,32622,Serie B 20/21
257111,24758,Serie B 19/20
257705,18325,Serie B 18/19
258156,13899,Serie B 17/18
258645,12091,Serie B 16/17
259090,10753,Serie B 15/16
259537,8712,Serie B 14/15
259963,6821,Serie B 13/14
260398,32700,"Serie C 20/21, Group A"
260805,24583,"Serie C 19/20, Group A"
261317,18816,"Serie C 18/19, Group A"
261735,14095,Serie C 17/18
262116,12169,Lega Pro 16/17
262476,10763,Lega Pro 15/16
262767,8786,Lega Pro 14/15
263151,32701,"Serie C 20/21, Group B"
263561,24584,"Serie C 19/20, Group B"
264094,18818,"Serie C 18/19, Group B"
264544,32702,"Serie C 20/21, Group C"
264944,24585,"Serie C 19/20, Group C"
265503,18817,"Serie C 18/19, Group C"
266001,28176,"Serie C 19/20, Promotion Playoffs"
266038,23375,"Serie C 18/19, Promotion Playoffs"
266111,24519,Coppa Italia 19/20
266171,17945,Coppa Italia 18/19
266215,13673,Coppa Italia 17/18
266267,11949,Coppa Italia 16/17
266337,10560,Coppa Italia 15/16
266385,8568,Coppa Italia 14/15
266447,6755,Coppa Italia 13/14
266513,26157,Super Cup 2019
266541,17112,Super Cup 2018
266569,13383,Super Cup 2017
266597,12340,Super Cup 2016
266625,27042,J.League 2020
267126,22479,J.League 2019
267625,16004,J.League 2018
268102,12879,J.League 2017
268575,11307,J.League 2016
268998,9765,J.League 2015
269440,7714,J.League 2014
269874,5916,J.League 2013
270288,26875,Super Cup 2020
270318,22416,Super Cup 2019
270319,12935,Super Cup 2017
270323,11170,Super Cup 2016
270327,27451,Virsliga 2020
270579,22627,Virsliga 2019
270827,16388,Virsliga 2018
271014,12968,Virsliga 2017
271182,27581,A Lyga 2020
271310,22650,A Lyga 2019
271492,16079,A Lyga 2018
271679,12940,A Lyga 2017
271878,11338,A Lyga 2016
272074,10135,A Lyga 2015
272271,7836,A Lyga 2014
272359,28233,"Primera Division, Apertura 2020"
272829,24002,"Primera Division, Apertura 2019"
273273,17518,Primera Division 18/19
273690,13413,Primera Division 17/18
274127,11740,Primera Division 16/17
274560,10355,Primera Division 15/16
274964,8176,Primera Division 14/15
275287,6305,Primera Division 13/14
275421,26789,Primera Division. Clausura 2020
275822,19974,Primera Division 18/19. Clausura
276265,19778,Primera Division 17/18. Clausura
276686,19779,Primera Division 16/17. Clausura
277554,23756,Supercopa MX 2019
277582,23763,Trofeo de Campeon de Campeones 2019
277609,28212,Premiership 20/21
277894,23987,Premiership 19/20
278227,17364,Premiership 18/19
278630,13448,Premiership 17/18
278982,11743,Premiership 16/17
279320,10379,Premiership 15/16
279662,8190,Premiership 14/15
280008,6309,Premier League 13/14
280333,23742,League Cup 19/20
280532,17580,League Cup 18/19
280669,13361,League Cup 17/18
280791,11849,League Cup 16/17
280942,10457,League Cup 15/16
280988,8202,League Cup 14/15
281032,26783,AFC Champions League 2020
281712,20011,AFC Champions League 2019
282447,15848,AFC Champions League 2018
283173,12773,AFC Champions League 2017
283883,11095,AFC Champions League 2016
284618,9627,AFC Champions League 2015
284968,7552,AFC Champions League 2014
285046,20046,AFC Cup 2019
285500,15951,AFC Cup 2018
285848,12835,AFC Cup 2017
286110,11165,AFC Cup 2016
286417,9625,AFC Cup 2015
286523,23606,"WC Qualification, AFC 2022"
286531,10187,"World Cup Qualification 2018, AFC"
286645,16919,AFC Asian Cup 2019
287089,7918,AFC Asian Cup 2015
287360,17251,AFF Suzuki Cup 2018
287566,12410,AFF Suzuki Cup 2016
287712,15586,World Cup
288316,7528,World Cup
288733,15012,"World Cup 2018, Inter-Confederation Playoffs"
288803,10839,Confederations Cup 2017
288839,5717,Confederations Cup 2013
288875,11442,Olympic Games 2016
289139,26177,Club World Cup 2019
289257,18694,FIFA Club World Cup 2018
289313,15363,FIFA Club World Cup 2017
289324,12727,FIFA Club World Cup 2016
289348,11090,FIFA Club World Cup 2015
289362,9529,FIFA Club World Cup 2014
289379,6209,FIFA Club World Cup 2013
289413,23671,Emirates Cup 2019
289452,13654,Emirates Cup 2017
289548,23027,Int. Champions Cup 2019
289797,17047,Int. Champions Cup 2018
289991,13474,Int. Champions Cup 2017
290128,11727,Int. Champions Cup 2016
290232,10285,Int. Champions Cup 2015
290313,11443,Olympic Games Women 2016
290485,19902,"World Cup, Women 2019"
290800,9602,Women's World Cup 2015
291051,24336,U17 World Cup 2019
291482,14364,U17 World Cup 2017
291704,10672,U17 World Cup 2015
291954,7108,U17 World Cup 2013
292162,22665,U20 World Cup 2019
292607,13149,U20 World Cup 2017
292919,9834,U20 World Cup 2015
293199,6077,U20 World Cup  2013
293428,26749,CONCACAF Champions League 2020
293701,19921,CONCACAF CL 2019
293806,15745,CONCACAF CL 2018
293895,11821,CONCACAF CL 16/17
293922,10477,CONCACAF CL 15/16
293925,8432,CONCACAF CL 14/15
293939,23156,Gold Cup 2019
294251,13258,Gold Cup 2017
294474,10238,Gold Cup 2015
294686,10191,"World Cup Qualif., CONCACAF 2018"
294867,22352,Copa America 2019
295095,11115,Copa America 2016
295396,9576,Copa America 2015
295582,26785,Copa Libertadores 2020
296413,19989,Copa Libertadores 2019
297152,15806,Copa Libertadores 2018
297913,12772,Copa Libertadores 2017
298403,11155,Copa Libertadores 2016
298855,9691,Copa Libertadores 2015
299209,7568,Copa Libertadores 2014
299586,5788,Copa Libertadores 2013
299982,26788,Copa Sudamericana 2020
301048,19990,Copa Sudamericana 2019
302095,15809,Copa Sudamericana 2018
303191,12950,Copa Sudamericana 2017
303590,11985,Copa Sudamericana 2016
303927,10582,Copa Sudamericana 2015
304260,8246,Copa Sudamericana 2014
304582,6477,Copa Sudamericana 2013
304915,27132,Recopa Sudamericana 2020
304948,20045,Recopa Sudamericana 2019
304980,15913,Recopa Sudamericana 2018
305011,13083,Recopa Sudamericana 2017
305045,26781,"WC Qual, CONMEBOL 2022"
305300,10583,World Cup Qualification 2018
305732,29267,UEFA Champions League 20/21
306347,23766,UEFA Champions League 19/20
307032,17351,UEFA Champions League 18/19
307734,13415,UEFA Champions League 17/18
308427,11773,UEFA Champions League 16/17
309125,10390,UEFA Champions League 15/16
309801,8226,Champions League 14/15
310657,6359,Champions League 13/14
311465,29343,UEFA Europa League 20/21
312422,23755,UEFA Europa League 19/20
313668,17352,UEFA Europa League 18/19
314898,13416,UEFA Europa League 17/18
316129,11774,UEFA Europa League 16/17
317357,10391,UEFA Europa League 15/16
318570,8228,UEFA Europa League 14/15
320276,6361,UEFA Europa League 13/14
322088,19857,"European Championship 2021, Qualification"
323706,7802,European Ch.ship QF 2016
325197,11098,European Championship 2016
325651,27595,UEFA Nations League 20/21
327171,16000,UEFA Nations League 18/19
328460,10585,"World Cup 2018, Qualification, UEFA"
329951,29463,UEFA Super Cup 2020
329981,23614,UEFA Super Cup 2019
330011,17168,UEFA Super Cup 2018
330041,13327,UEFA Super Cup 2017
330068,12634,European Ch.ship Women 2017
330116,5659,European Ch.ship Women 2013
330154,17278,U19 European Ch.ship 2018
330237,13260,U19 European Ch.ship 2017
330299,11450,U19 European Ch.ship 2016
330367,10337,U19 European Ch.ship 2015
330417,6283,U19 European Ch.ship 2013
330471,19788,U21 European Ch.ship 2019
330702,12726,U21 European Ch.ship 2017
330851,9537,U21 European Ch.ship 2015
330956,5713,U21 European Ch.ship 2013
331056,24785,CAF Champions League 19/20
331429,19809,CAF Champions League 18/19
331799,16303,CAF Champions League 2018
332166,12962,CAF Champions League 2017
332525,23112,Africa Cup of Nations 2019
332990,12586,Africa Cup of Nations 2017
333286,9596,Africa Cup of Nations 2015
333482,5621,Africa Cup of Nations 2013
333684,24786,CAF Confederations Cup 19/20
334053,23643,CAF Super Cup 2020
334081,19961,CAF Super Cup 18/19
334108,16072,CAF Super Cup 2018
334136,12888,CAF Super Cup 2017
334163,27591,Brasileiro Serie A 2020
334827,22931,Brasileiro Serie A 2019
335521,16183,Brasileiro Serie A 2018
336237,13100,Brasileiro Serie A 2017
336951,11429,Brasileiro Serie A 2016
337671,10173,Brasilero Serie A 2015
338268,7778,Brasilero Serie A 2014
338872,6075,Brasilero Serie A 2013
339427,27593,Brasileiro Serie B 2020
340125,22932,Brasileiro Serie B 2019
340866,16184,Brasileiro Serie B 2018
341607,26912,Supercopa do Brasil 2020
341635,26501,"Paulista, Serie A1 2020"
342086,19896,"Paulista, Serie A1 2019"
342492,15710,"Paulista, Serie A1 2018"
342911,12818,"Paulista, Serie A1 2017"
